clasificador,C,gamma,weight_color,f1_score
SVM,0.1,scale,0.2,0.5250795384437048
SVM,0.1,scale,0.3,0.5309437437871962
SVM,0.1,scale,0.4,0.5464905421214954
SVM,0.1,scale,0.5,0.5355552746320444
SVM,0.1,scale,0.6,0.5149109209310602
SVM,0.1,scale,0.7,0.5035554325302323
SVM,0.1,scale,0.8,0.47637479607011757
SVM,0.1,auto,0.2,0.4046131568556137
SVM,0.1,auto,0.3,0.41509915013980525
SVM,0.1,auto,0.4,0.4203490170213705
SVM,0.1,auto,0.5,0.41990063097720876
SVM,0.1,auto,0.6,0.42201010349742435
SVM,0.1,auto,0.7,0.405220311714183
SVM,0.1,auto,0.8,0.3857461402192856
SVM,0.1,0.01,0.2,0.4224230562190221
SVM,0.1,0.01,0.3,0.43958828388826954
SVM,0.1,0.01,0.4,0.4343296548324009
SVM,0.1,0.01,0.5,0.43170821187764
SVM,0.1,0.01,0.6,0.41615526295958977
SVM,0.1,0.01,0.7,0.399965748682118
SVM,0.1,0.01,0.8,0.37304347935068854
SVM,0.1,0.001,0.2,0.35734259505803634
SVM,0.1,0.001,0.3,0.3609965268297865
SVM,0.1,0.001,0.4,0.36484726379889143
SVM,0.1,0.001,0.5,0.36074873305254285
SVM,0.1,0.001,0.6,0.3530640564015549
SVM,0.1,0.001,0.7,0.35588173705879933
SVM,0.1,0.001,0.8,0.3437840315833158
SVM,1.0,scale,0.2,0.5967022981661197
SVM,1.0,scale,0.3,0.6132178468867082
SVM,1.0,scale,0.4,0.6183148539360477
SVM,1.0,scale,0.5,0.6198093054472984
SVM,1.0,scale,0.6,0.6081224625638745
SVM,1.0,scale,0.7,0.5835659182419892
SVM,1.0,scale,0.8,0.557566788410432
SVM,1.0,auto,0.2,0.41574752860666087
SVM,1.0,auto,0.3,0.43458201517721146
SVM,1.0,auto,0.4,0.43159606667312433
SVM,1.0,auto,0.5,0.4271375592137397
SVM,1.0,auto,0.6,0.4063648255968954
SVM,1.0,auto,0.7,0.39563100921827987
SVM,1.0,auto,0.8,0.3644746567407516
SVM,1.0,0.01,0.2,0.42913528829988595
SVM,1.0,0.01,0.3,0.4364194822067072
SVM,1.0,0.01,0.4,0.44262560681210744
SVM,1.0,0.01,0.5,0.4398419767354228
SVM,1.0,0.01,0.6,0.41824751097449103
SVM,1.0,0.01,0.7,0.4021451141607441
SVM,1.0,0.01,0.8,0.36470218850616193
SVM,1.0,0.001,0.2,0.41887291824512773
SVM,1.0,0.001,0.3,0.4278903030361284
SVM,1.0,0.001,0.4,0.4248475587008591
SVM,1.0,0.001,0.5,0.42497026510633484
SVM,1.0,0.001,0.6,0.408988021675198
SVM,1.0,0.001,0.7,0.3900217653441917
SVM,1.0,0.001,0.8,0.3656295246616056
SVM,10.0,scale,0.2,0.6954376649520466
SVM,10.0,scale,0.3,0.7057428160368756
SVM,10.0,scale,0.4,0.7156338578728756
SVM,10.0,scale,0.5,0.7026471753209791
SVM,10.0,scale,0.6,0.6881437337308858
SVM,10.0,scale,0.7,0.667874307497653
SVM,10.0,scale,0.8,0.6560445720956816
SVM,10.0,auto,0.2,0.4276116215369587
SVM,10.0,auto,0.3,0.431894218852512
SVM,10.0,auto,0.4,0.4429349382870712
SVM,10.0,auto,0.5,0.4401858371421688
SVM,10.0,auto,0.6,0.42016481841008113
SVM,10.0,auto,0.7,0.40126717188729344
SVM,10.0,auto,0.8,0.3807060832126354
SVM,10.0,0.01,0.2,0.4455778934230139
SVM,10.0,0.01,0.3,0.44391935203599864
SVM,10.0,0.01,0.4,0.45443670744875364
SVM,10.0,0.01,0.5,0.4562489064859042
SVM,10.0,0.01,0.6,0.4392452802194592
SVM,10.0,0.01,0.7,0.4172804339083839
SVM,10.0,0.01,0.8,0.3966053551127269
SVM,10.0,0.001,0.2,0.4214847929040899
SVM,10.0,0.001,0.3,0.43480441597451
SVM,10.0,0.001,0.4,0.43724367743986814
SVM,10.0,0.001,0.5,0.4323964177450038
SVM,10.0,0.001,0.6,0.4115073771657583
SVM,10.0,0.001,0.7,0.3941940735777452
SVM,10.0,0.001,0.8,0.3662295194324158
SVM,100.0,scale,0.2,0.7031067218041798
SVM,100.0,scale,0.3,0.7091507378105424
SVM,100.0,scale,0.4,0.7098406046139492
SVM,100.0,scale,0.5,0.6990110241283726
SVM,100.0,scale,0.6,0.6840846398130166
SVM,100.0,scale,0.7,0.6658709540819274
SVM,100.0,scale,0.8,0.6551628353297257
SVM,100.0,auto,0.2,0.44113219008689936
SVM,100.0,auto,0.3,0.44165478394058033
SVM,100.0,auto,0.4,0.45622594218819107
SVM,100.0,auto,0.5,0.4552746928207657
SVM,100.0,auto,0.6,0.43320159120874546
SVM,100.0,auto,0.7,0.4252650902918765
SVM,100.0,auto,0.8,0.410654868813486
SVM,100.0,0.01,0.2,0.4696201806096295
SVM,100.0,0.01,0.3,0.4725960141412485
SVM,100.0,0.01,0.4,0.4630080115467252
SVM,100.0,0.01,0.5,0.47474851864339207
SVM,100.0,0.01,0.6,0.46734872468891664
SVM,100.0,0.01,0.7,0.44997118053398893
SVM,100.0,0.01,0.8,0.43429392397377964
SVM,100.0,0.001,0.2,0.4364968026505995
SVM,100.0,0.001,0.3,0.4408897180318331
SVM,100.0,0.001,0.4,0.45273356107924057
SVM,100.0,0.001,0.5,0.45187234960930106
SVM,100.0,0.001,0.6,0.43765425483071263
SVM,100.0,0.001,0.7,0.4150861518752751
SVM,100.0,0.001,0.8,0.39387797839579597
SVM,1000.0,scale,0.2,0.7031067218041798
SVM,1000.0,scale,0.3,0.7091507378105424
SVM,1000.0,scale,0.4,0.7098406046139492
SVM,1000.0,scale,0.5,0.6990110241283726
SVM,1000.0,scale,0.6,0.6840846398130166
SVM,1000.0,scale,0.7,0.6658709540819274
SVM,1000.0,scale,0.8,0.6551628353297257
SVM,1000.0,auto,0.2,0.45510162829913164
SVM,1000.0,auto,0.3,0.4600732909175571
SVM,1000.0,auto,0.4,0.4563643064338268
SVM,1000.0,auto,0.5,0.44881181011553223
SVM,1000.0,auto,0.6,0.4481250695722461
SVM,1000.0,auto,0.7,0.42994476779522894
SVM,1000.0,auto,0.8,0.4212977175939724
SVM,1000.0,0.01,0.2,0.5073851581733575
SVM,1000.0,0.01,0.3,0.5042129836183215
SVM,1000.0,0.01,0.4,0.49784492585137474
SVM,1000.0,0.01,0.5,0.4782552281696236
SVM,1000.0,0.01,0.6,0.4637887108473609
SVM,1000.0,0.01,0.7,0.4453006604564999
SVM,1000.0,0.01,0.8,0.4250000696822373
SVM,0.1,scale,0.3,0.5309437437871962
SVM,0.1,scale,0.5,0.5355552746320444
SVM,0.1,scale,0.7,0.5035554325302323
SVM,0.1,scale,0.9,0.45324463690593986
SVM,0.1,scale,0.2,0.5250795384437048
SVM,0.1,scale,0.3,0.5309437437871962
SVM,0.1,scale,0.4,0.5464905421214954
SVM,0.1,scale,0.5,0.5355552746320444
SVM,0.1,scale,0.6,0.5149109209310602
SVM,0.1,scale,0.7,0.5035554325302323
SVM,0.1,scale,0.8,0.47637479607011757
SVM,0.1,auto,0.2,0.4046131568556137
SVM,0.1,auto,0.3,0.41509915013980525
SVM,0.1,auto,0.4,0.4203490170213705
SVM,0.1,auto,0.5,0.41990063097720876
SVM,0.1,auto,0.6,0.42201010349742435
SVM,0.1,auto,0.7,0.405220311714183
SVM,0.1,auto,0.8,0.3857461402192856
SVM,0.1,0.01,0.2,0.4224230562190221
SVM,0.1,0.01,0.3,0.43958828388826954
SVM,0.1,0.01,0.4,0.4343296548324009
SVM,0.1,0.01,0.5,0.43170821187764
SVM,0.1,0.01,0.6,0.41615526295958977
SVM,0.1,0.01,0.7,0.399965748682118
SVM,0.1,0.01,0.8,0.37304347935068854
SVM,0.1,0.001,0.2,0.35734259505803634
SVM,0.1,0.001,0.3,0.3609965268297865
SVM,0.1,0.001,0.4,0.36484726379889143
SVM,0.1,0.001,0.5,0.36074873305254285
SVM,0.1,0.001,0.6,0.3530640564015549
SVM,0.1,0.001,0.7,0.35588173705879933
SVM,0.1,0.001,0.8,0.3437840315833158
SVM,1.0,scale,0.2,0.5967022981661197
SVM,1.0,scale,0.3,0.6132178468867082
SVM,1.0,scale,0.4,0.6183148539360477
SVM,1.0,scale,0.5,0.6198093054472984
SVM,1.0,scale,0.6,0.6081224625638745
SVM,1.0,scale,0.7,0.5835659182419892
SVM,1.0,scale,0.8,0.557566788410432
SVM,1.0,auto,0.2,0.41574752860666087
SVM,1.0,auto,0.3,0.43458201517721146
SVM,1.0,auto,0.4,0.43159606667312433
SVM,1.0,auto,0.5,0.4271375592137397
SVM,1.0,auto,0.6,0.4063648255968954
SVM,1.0,auto,0.7,0.39563100921827987
SVM,1.0,auto,0.8,0.3644746567407516
SVM,1.0,0.01,0.2,0.42913528829988595
SVM,1.0,0.01,0.3,0.4364194822067072
SVM,1.0,0.01,0.4,0.44262560681210744
SVM,1.0,0.01,0.5,0.4398419767354228
SVM,1.0,0.01,0.6,0.41824751097449103
SVM,1.0,0.01,0.7,0.4021451141607441
SVM,1.0,0.01,0.8,0.36470218850616193
SVM,1.0,0.001,0.2,0.41887291824512773
SVM,1.0,0.001,0.3,0.4278903030361284
SVM,1.0,0.001,0.4,0.4248475587008591
SVM,1.0,0.001,0.5,0.42497026510633484
SVM,1.0,0.001,0.6,0.408988021675198
SVM,1.0,0.001,0.7,0.3900217653441917
SVM,1.0,0.001,0.8,0.3656295246616056
SVM,10.0,scale,0.2,0.6954376649520466
SVM,10.0,scale,0.3,0.7057428160368756
SVM,10.0,scale,0.4,0.7156338578728756
SVM,10.0,scale,0.5,0.7026471753209791
SVM,10.0,scale,0.6,0.6881437337308858
SVM,10.0,scale,0.7,0.667874307497653
SVM,10.0,scale,0.8,0.6560445720956816
SVM,10.0,auto,0.2,0.4276116215369587
SVM,10.0,auto,0.3,0.431894218852512
SVM,10.0,auto,0.4,0.4429349382870712
SVM,10.0,auto,0.5,0.4401858371421688
SVM,10.0,auto,0.6,0.42016481841008113
SVM,10.0,auto,0.7,0.40126717188729344
SVM,10.0,auto,0.8,0.3807060832126354
SVM,10.0,0.01,0.2,0.4455778934230139
SVM,10.0,0.01,0.3,0.44391935203599864
SVM,10.0,0.01,0.4,0.45443670744875364
SVM,10.0,0.01,0.5,0.4562489064859042
SVM,10.0,0.01,0.6,0.4392452802194592
SVM,10.0,0.01,0.7,0.4172804339083839
SVM,10.0,0.01,0.8,0.3966053551127269
SVM,10.0,0.001,0.2,0.4214847929040899
SVM,10.0,0.001,0.3,0.43480441597451
SVM,10.0,0.001,0.4,0.43724367743986814
SVM,10.0,0.001,0.5,0.4323964177450038
SVM,10.0,0.001,0.6,0.4115073771657583
SVM,10.0,0.001,0.7,0.3941940735777452
SVM,10.0,0.001,0.8,0.3662295194324158
SVM,100.0,scale,0.2,0.7031067218041798
SVM,100.0,scale,0.3,0.7091507378105424
SVM,100.0,scale,0.4,0.7098406046139492
SVM,100.0,scale,0.5,0.6990110241283726
SVM,100.0,scale,0.6,0.6840846398130166
SVM,100.0,scale,0.7,0.6658709540819274
SVM,100.0,scale,0.8,0.6551628353297257
SVM,100.0,auto,0.2,0.44113219008689936
SVM,100.0,auto,0.3,0.44165478394058033
SVM,100.0,auto,0.4,0.45622594218819107
SVM,100.0,auto,0.5,0.4552746928207657
SVM,100.0,auto,0.6,0.43320159120874546
SVM,100.0,auto,0.7,0.4252650902918765
SVM,100.0,auto,0.8,0.410654868813486
SVM,100.0,0.01,0.2,0.4696201806096295
SVM,100.0,0.01,0.3,0.4725960141412485
SVM,100.0,0.01,0.4,0.4630080115467252
SVM,100.0,0.01,0.5,0.47474851864339207
SVM,100.0,0.01,0.6,0.46734872468891664
SVM,100.0,0.01,0.7,0.44997118053398893
SVM,100.0,0.01,0.8,0.43429392397377964
SVM,100.0,0.001,0.2,0.4364968026505995
SVM,100.0,0.001,0.3,0.4408897180318331
SVM,100.0,0.001,0.4,0.45273356107924057
SVM,100.0,0.001,0.5,0.45187234960930106
SVM,100.0,0.001,0.6,0.43765425483071263
SVM,100.0,0.001,0.7,0.4150861518752751
SVM,100.0,0.001,0.8,0.39387797839579597
SVM,1000.0,scale,0.2,0.7031067218041798
SVM,1000.0,scale,0.3,0.7091507378105424
SVM,1000.0,scale,0.4,0.7098406046139492
SVM,1000.0,scale,0.5,0.6990110241283726
SVM,1000.0,scale,0.6,0.6840846398130166
SVM,1000.0,scale,0.7,0.6658709540819274
SVM,1000.0,scale,0.8,0.6551628353297257
SVM,1000.0,auto,0.2,0.45510162829913164
SVM,1000.0,auto,0.3,0.4600732909175571
SVM,1000.0,auto,0.4,0.4563643064338268
SVM,1000.0,auto,0.5,0.44881181011553223
SVM,1000.0,auto,0.6,0.4481250695722461
SVM,1000.0,auto,0.7,0.42994476779522894
SVM,1000.0,auto,0.8,0.4212977175939724
SVM,1000.0,0.01,0.2,0.5073851581733575
SVM,1000.0,0.01,0.3,0.5042129836183215
SVM,1000.0,0.01,0.4,0.49784492585137474
SVM,1000.0,0.01,0.5,0.4782552281696236
SVM,1000.0,0.01,0.6,0.4637887108473609
SVM,1000.0,0.01,0.7,0.4453006604564999
SVM,1000.0,0.01,0.8,0.4250000696822373
SVM,1000.0,0.001,0.2,0.44994563069467686
SVM,1000.0,0.001,0.3,0.4606067639731141
SVM,1000.0,0.001,0.4,0.4530331101369793
SVM,1000.0,0.001,0.5,0.4597505331248345
SVM,1000.0,0.001,0.6,0.44675604155143994
SVM,1000.0,0.001,0.7,0.43587749463185127
SVM,1000.0,0.001,0.8,0.4241965726196807
